9.1305 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1680, 1050]. Using actual size
10.0987 	EXP 	Created instScreen = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.02, italic=False, languageStyle='LTR', name='instScreen', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
10.1071 	EXP 	Created endScreen = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.02, italic=False, languageStyle='LTR', name='endScreen', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
10.1140 	EXP 	Created recall_inst = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.02, italic=False, languageStyle='LTR', name='recall_inst', opacity=1.0, ori=0, pos=array([ 0. , -0.3]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
10.1145 	EXP 	Created recall_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.02, italic=False, languageStyle='LTR', name='recall_text', opacity=1.0, ori=0, pos=array([ 0. , -0.4]), rgb=array([255., 255., 255.]), text='', units='height', win=Window(...), wrapWidth=1)
10.5630 	EXP 	Created playback = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=0.0, filename=str(...), flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='playback', noAudio=False, opacity=1.0, ori=0, pos=array([ 0., 75.]), size=array([1120.,  700.]), units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
10.6295 	EXP 	playback: movie = '/Users/anyaji/Desktop/esEventCoding/Movie/3backPrac.mp4'
10.6295 	EXP 	playback: autoLog = True
10.6295 	EXP 	instScreen: autoDraw = True
11.7004 	DATA 	Keypress: space
11.7143 	EXP 	instScreen: autoDraw = False
12.7729 	EXP 	recall_text: text = ''
12.7729 	EXP 	playback: autoDraw = True
16.4125 	EXP 	Set playback paused
16.4125 	EXP 	recall_inst: autoDraw = True
16.4125 	EXP 	recall_text: autoDraw = True
16.9789 	DATA 	Keypress: p
17.0166 	EXP 	recall_text: text = 'p'
17.0686 	DATA 	Keypress: u
17.0969 	EXP 	recall_text: text = 'pu'
17.1980 	DATA 	Keypress: t
17.2298 	EXP 	recall_text: text = 'put'
17.9493 	DATA 	Keypress: return
18.1810 	EXP 	recall_text: text = ''
18.1810 	EXP 	recall_inst: autoDraw = False
18.1810 	EXP 	recall_text: autoDraw = False
18.1810 	EXP 	Set playback playing
24.0981 	EXP 	Set playback paused
24.0981 	EXP 	recall_inst: autoDraw = True
24.0981 	EXP 	recall_text: autoDraw = True
24.6663 	DATA 	Keypress: l
24.6961 	EXP 	recall_text: text = 'l'
24.7246 	DATA 	Keypress: o
24.7805 	EXP 	recall_text: text = 'lo'
24.9990 	DATA 	Keypress: o
25.0292 	EXP 	recall_text: text = 'loo'
25.1022 	DATA 	Keypress: k
25.1305 	EXP 	recall_text: text = 'look'
25.3981 	DATA 	Keypress: return
25.6327 	EXP 	recall_text: text = ''
25.6327 	EXP 	recall_inst: autoDraw = False
25.6327 	EXP 	recall_text: autoDraw = False
25.6327 	EXP 	Set playback playing
